,id,content,metrics,sentiment
24,1605606629684043787,"RT @TheMessiNFT: World Cup triumph means Messi is now the greatest 🏆

Free Mint coming soon 🔜 
1111 Supply 📦 

Like + RT to be considered 📜…","{'author_id': 1103638758484717568, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 25, tzinfo=datetime.timezone.utc), 'retweet_count': 1202, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.7, 'sentiment_rating_value': 2}"
25,1605606625942831104,"RT @CoinStats: Want a celebratory #FIFAWorldCup NFT?

Complete quests, get Sparks ⚡ and win some: https://t.co/QEv2iUa20i https://t.co/j90E…","{'author_id': 1247550824710131718, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 25, tzinfo=datetime.timezone.utc), 'retweet_count': 3798, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.45, 'sentiment_rating_value': -2}"
26,1605606621484158976,"RT @imarafathossain: This is a Bangladeshi tribute to dear Argentina. 🇦🇷🇧🇩
Magic! Messi! Madness! 🔥

VAMOS ARGENTINA, WE LOVE YOU...
#Messi…","{'author_id': 187320291, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 23, tzinfo=datetime.timezone.utc), 'retweet_count': 15, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.73828125, 'sentiment_rating_value': 2}"
27,1605606596398047232,"RT @alimo_philip: 🐐 LIONEL MESSI

🌕 8th Ballon d'Or loading…………

#FIFAWorldCup|#Messi𓃵|#GOAT𓃵 https://t.co/MUTormhsyS","{'author_id': 1362114822893092864, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 17, tzinfo=datetime.timezone.utc), 'retweet_count': 1211, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
28,1605606593671749632,"RT @matchday: Get FREE @Matchday Footballer Cards!

Sign up here ➡️ https://t.co/ciZhteymCL

Build your squad, invite your friends, and com…","{'author_id': 1587830196861812743, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 17, tzinfo=datetime.timezone.utc), 'retweet_count': 3254, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.5, 'sentiment_rating_value': 1}"
29,1605606575980175360,"RT @_snuppy08: 🔥CRYPTO ARBITRAGE METHOD 📲💲                                                                            

Just Check CoW toke…","{'author_id': 2343021630, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 13, tzinfo=datetime.timezone.utc), 'retweet_count': 126, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': -0.13333333333333333, 'sentiment_rating_value': -2}"
30,1605606571316109316,"RT @Enilart: Behold, the GOAT!

#Messi𓃵 #LionelMessi𓃵 #FIFAWorldCup #Argentina https://t.co/M3kN9imYRi","{'author_id': 1412797896756445187, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 11, tzinfo=datetime.timezone.utc), 'retweet_count': 538, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
31,1605606557382631435,RT @PSBrarOfficial: When football ⚽ is a religion. #Argentina #FIFAWorldCup https://t.co/zegR3zWIWm,"{'author_id': 2937586196, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 8, tzinfo=datetime.timezone.utc), 'retweet_count': 18, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
32,1605606551187644427,"RT @gipos_: With just 
1. A smartphone 
2. A mini bluetooth printer 
3. The GiPOS app
You are ready to go.  Please DM for more information.…","{'author_id': 1279321928650706945, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 7, tzinfo=datetime.timezone.utc), 'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.35, 'sentiment_rating_value': -2}"
33,1605606545340784643,"RT @alimo_philip: 🎥 One of the finest compilations of Lionel Messi at the 2022 World Cup that you will ever see.

🐐The greatest of all time…","{'author_id': 1405210132368093188, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 5, tzinfo=datetime.timezone.utc), 'retweet_count': 882, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 1.0, 'sentiment_rating_value': 2}"
34,1605606541960175641,"RT @City_Xtra: Julián Álvarez's #FIFAWorldCup win with Argentina is being honoured in his hometown of Calchín, with the #ManCity striker to…","{'author_id': 1320458162, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 4, tzinfo=datetime.timezone.utc), 'retweet_count': 20, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.8, 'sentiment_rating_value': 2}"
